audio_file,raw_text,label
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt0.mp4,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt1.mp4,You must’ve had your hands full.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt2.mp4,That I did. That I did.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt3.mp4,So let’s talk a little bit about your duties.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt4.mp4,My duties?  All right.,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt5.mp4,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt6.mp4,I see.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt7.mp4,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt8.mp4,Good to know.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt9.mp4,We can go into detail,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt10.mp4,No don’t I beg of you!,2.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt11.mp4,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt12.mp4,Really?!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia0_utt13.mp4,Absolutely.  You can relax,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia1_utt0.mp4,But then who? The waitress I went out with last month?,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia1_utt2.mp4,"No-no-no-no, no! Who, who were you talking about?",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia1_utt3.mp4,"No, I-I-I-I don t, I actually don t know",2.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia1_utt4.mp4,Ok!,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia1_utt5.mp4,"All right, well...",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits/dia1_utt8.mp4,"Yeah, sure!",0.0
