audio_file,raw_text,label
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt0.wav,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt1.wav,You must’ve had your hands full.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt2.wav,That I did. That I did.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt3.wav,So let’s talk a little bit about your duties.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt4.wav,My duties?  All right.,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt5.wav,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt6.wav,I see.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt7.wav,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt8.wav,Good to know.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt9.wav,We can go into detail,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt10.wav,No don’t I beg of you!,2.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt11.wav,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt12.wav,Really?!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia0_utt13.wav,Absolutely.  You can relax,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia1_utt0.wav,But then who? The waitress I went out with last month?,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia1_utt2.wav,"No-no-no-no, no! Who, who were you talking about?",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia1_utt3.wav,"No, I-I-I-I don t, I actually don t know",2.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia1_utt4.wav,Ok!,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia1_utt5.wav,"All right, well...",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia1_utt8.wav,"Yeah, sure!",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt0.wav,"Hey, Mon.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt1.wav,Hey-hey-hey. You wanna hear something that sucks.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt2.wav,Do I ever.,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt4.wav,No way!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt5.wav,"Yeah, apparently they’re turning it into some kinda coffee place.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt6.wav,Just coffee! Where are we gonna hang out now?,2.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt8.wav,Can I get a beer.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt9.wav,"Hey, did you pick a roommate?",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt10.wav,You betcha!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt11.wav,Is it the Italian guy?,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia2_utt12.wav,"Um-mm, yeah right!",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt0.wav,"Oh my God, oh my God! Poor Monica!",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt1.wav,"What, what, what?!",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt2.wav,What?!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt3.wav,He was with her when he wrote this poem.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt4.wav,"Look,   My vessel so empty with nothing inside.",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt5.wav,"Now that I have touched you, you seem emptier still. ",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt6.wav,"He thinks Monica is empty, she is the empty vase!",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia3_utt9.wav,Done.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt0.wav,Hey!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt1.wav,Hi!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt2.wav,What are you doing here?,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt3.wav,"Ah y know, this building is on my paper route so I...",0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt4.wav,Oh.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt5.wav,Hi.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt6.wav,Hi.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt7.wav,How’d did it go?,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt8.wav,"Oh well, the woman I interviewed with was pretty tough, but y know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt9.wav,I’m so proud of you.,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt10.wav,Me too!,1.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt12.wav,I know.,0.0
C:/Users/admin/Documents/EmotionData/MELD.Raw/train/train_splits_01/dia4_utt13.wav,Yeah.,0.0
